Trends,Started,Ended,Trend breakdown,search_vol,duration,Started_date,categories,hrs,peak_search_day,popularity,day,seq,day,seq
kkr vs rr,2025-05-03 01:00:00+00:00,2025-06-20 18:51:23+00:00,"kkr vs rr,kolkata knight riders vs rajasthan royals match scorecard,kunal singh rathore,kolkata knight riders vs delhi capitals match scorecard,rr vs kkr,knight riders vs royals,riyan parag,kolkata knight riders vs rajasthan royals,moeen ali,shimron hetmyer,kkr rr,kolkata knight riders vs rajasthan royals timeline,where to watch kolkata knight riders vs rajasthan royals,kkr versus rr,rr kkr,kkr vs rr 2025,yudhvir singh,kkr v rr,angkrish raghuvanshi,andre russell,kkr vs rr live,rr versus kkr,kkr vs rr scorecard,rr vs kkr 2025,kolkata knight riders vs rajasthan royals standings,kkr vsrr,rr v kkr,rajasthan royals vs kolkata knight riders match scorecard,sunil narine,rinku singh,rr vs,royals vs knight riders,kolkata knight riders vs rajasthan royals match,kkr vs,hetmyer,kolkata knight riders vs rajasthan royals stats,kkr vs rr live score,riyan parag 6 sixes,kkrvs rr,kkr - rr,parag,kkr match,kkr vs rr today match,kunal rathore,kolkata knight riders vs rajasthan royals players,kolkata knight riders,russell,kkr vs rr 2024,kkr vs rr toss,eden gardens pitch report,raghuvanshi,kkr last match,kol vs raj,knight riders vs royals toss,score ipl,kkr vs rr prediction,ipl matches,today match,today's ipl match,today weather report,ipl scoreboard,ipl match 2025,kkr vs rr pitch report,ipl match list,ipl scorecard,who won today's ipl match,kkr va rr,highest score in ipl,cricket match,dream11,kkr vs rr toss winner today,match ipl,i p l,ipl list 2025,tata ipl,ipl score 2025,scorecard,ipl scorecard 2025,ipl 2025 stats,ipl 2025 matches,ipl highest score,ipl match live score,scorecard ipl,ipl result,ipl 2025 live score,2025 ipl,ipl tomorrow match,ipl 2025 match,todays ipl,today's ipl,today match winner,ipl 2025 highest run",2000000.0,,2025-05-03,Sports & Events,1,Saturday,3,5,1,5,1
rcb vs csk,2025-05-02 11:20:00+00:00,2025-06-20 18:51:23+00:00,"rcb vs csk,royal challengers bengaluru vs chennai super kings match scorecard,csk vs rcb,royal challengers vs super kings,rcb vs csk 2025,csk versus rcb,romario shepherd,fastest 50 in ipl,rcb versus csk,royal challengers bengaluru vs chennai super kings,csk vs rcb 2025,rcb csk,royal challengers bengaluru vs chennai super kings standings,csk rcb,fastest fifty in ipl,rcb vs csk live,yash dayal,where to watch royal challengers bengaluru vs chennai super kings,ms dhoni,rcb vs csk highlights 2025,rcb vs csk 2025 scorecard,royal challengers bengaluru,rcb vs csk match 2025,csk v rcb,csk vs rcb live,cak vs rcb,rcbvscsk,yesterday ipl match,rcb vscsk,rcb vs csk match,rcb - csk,rcbvs csk,rcb vs csk highlights,ipl csk vs rcb,rcb vs csk scorecard,who won the match yesterday,shepherd rcb,dhoni,fastest 50 in ipl 2025,rcb bs csk,rcb vs csk score,csk rcb match,who won yesterday match,rcb vs csk.,rcb versus chennai,csk vs rcb score,fastest 50 in ipl history,csk versus rcb match,csk va rcb,yesterday ipl match winner,table ipl 2025,2025 ipl points table,rcb and csk,who won yesterday's ipl match,who won yesterday's match,ipl yesterday,yesterday's ipl match,rcb chennai,rcb vs chennai,yesterday ipl,yesterday match result,csk bs rcb,csk vs rcb highlights,rcb vs csk ipl match,ipl yesterday match,yesterday ipl match result,ipl list,purple,yesterday match ipl,table point ipl,yesterday ipl match score,csk vs rcb scorecard,rcb vs csk win,points table of ipl 2025,orange cap in ipl 2025 top 5,rcb versus,csk versis rcb,chennai versus rcb,ipl win,rcb vs csk yesterday match,yesterday,3 may ipl match,tata ipl 2025 points table,ipl ipl,ipl yesterday match result",5000000.0,,2025-05-02,Entertainment & Celebrities,11,Friday,3,4,2,4,2
kkr vs dc,2025-04-29 04:20:00+00:00,2025-06-20 18:51:23+00:00,"kkr vs dc,wanindu hasaranga,dhruv jurel,varun chakaravarthy,varun chakravarthy",2000000.0,,2025-04-29,Sports & Events,4,Tuesday,3,1,1,1,1
mi vs rr,2025-04-29 03:40:00+00:00,2025-06-20 18:51:23+00:00,"mi vs rr,rr vs mi,indians vs royals,mumbai indians vs rajasthan royals match scorecard,rajasthan royals vs mumbai indians match scorecard,karn sharma,kumar kartikeya,mi rr,royals vs indians,mi vs rr 2025,mi vs rr 2025 scorecard,rajasthan royals vs mumbai indians,mumbai indians vs rajasthan royals,ryan rickelton,mi v rr,mi versus rr,mumbai indians vs rajasthan royals standings,mi vs re,riyan parag,rajasthan royals vs mumbai indians standings,rr versus mi,mi vs,ipl score table,rajasthan royals vs mumbai indians players,mumbai indians vs rajasthan royals timeline,rr v mi,mivsrr,mi vs rr live,rajasthan royals vs mumbai indians timeline,yesterday match,rr vsmi,mi vs r,mumbai vs rajasthan,where to watch rajasthan royals vs mumbai indians,rrvs mi,mi rr match,mi vs rr live score,ipl mi vs rr,rr vs mi live score,mumbai versus rajasthan,re vs mi,mi vs rr scorecard,sawai mansingh stadium,mi vs rr highlights,csk vs rr,rajasthan royals vs mumbai indians match,rr vs mi live,rr vs mi toss,mi vs rr.,mumbai vs rr,rickelton,mi vs rr toss,table ipl 2025,mumbai rajasthan,mumbai versus rr,mi vs rrr,sawai mansingh stadium pitch report,mi vs rr score,rr vs mi scorecard,jaipur,rr vs mi 2024,sawai mansingh stadium weather,rr va mi,mi - rr,mumbai indians vs rajasthan royals stats,2025 ipl points table,jaipur weather today,ipl points table today match,ipl points table 2025 today,mumbai indians vs rajasthan royals match,gt vs mi 2025,ipl highest score batsman 2025,point table ipl 2025,mumbai indians vs rajasthan royals match scorecar,rr vs mi toss winner today,weather in jaipur,ipl.points table,rajasthan versus mumbai,ipl 2025 points table today,mi ipl,rr jersey,rajasthan royals vs mumbai indians stats,mi match,points table of ipl 2025,mi vs rr toss winner,rajasthan vs mumbai,rr vs mi head to head,rr vs mi dream11 prediction,mu vs rr,raj vs mum,rajasthan mumbai,rr last match scorecard,mi last match,mi matches,mi last match scorecard,rajasthan royals players,mum vs rr,mi versus rr match,mi vs rr match,mi vs rr highlights 2025",5000000.0,,2025-04-29,Sports & Events,3,Tuesday,3,1,1,1,1
gt vs srh,2025-05-01 12:00:00+00:00,2025-06-20 18:51:23+00:00,"gt vs srh,gujarat titans vs sunrisers hyderabad match scorecard,titans vs sunrisers,karim janat,gt versus srh,gt vs srh 2025,gujarat titans vs sunrisers hyderabad,prasidh krishna,gt srh,gujarat titans vs sunrisers hyderabad standings,mohammed siraj,srh vs gt 2025,gt v srh,gt vs shr,jos buttler,gujarat titans vs sunrisers hyderabad timeline,srh gt,sunrisers hyderabad,srh,sunrisers hyderabad vs gujarat titans match scorecard,where to watch gujarat titans vs sunrisers hyderabad,gt vs,sunrisers vs titans,gujarat versus hyderabad,gujarat titans vs sunrisers hyderabad stats,srh v gt,gt vssrh,gt vs srh scorecard,srh vs,gt vs srh live score,gt vs srh live,titans vs sunriser,gujarat vs hyderabad,gtvs srh,gujarat titans vs sunrisers hyderabad match,gtvssrh,srh versus gt,narendra modi stadium,shr vs gt,gujarat titans vs sunrisers hyderabad players,weather report,gt vs srh 2024,gt - srh,narendra modi stadium pitch report,gt vs srh.,gt vs hrs,gt vs hyd,gt vs srh toss,gt వర్సెస్ srh,scoreboard,gujarat hyderabad,ipl gt vs srh,coetzee,srh vs gt toss,titans vs sunrisers toss,gujarat titans vs sunrisers hyderabad match scorecar,hyderabad versus gujarat,gt vs srh all match scorecard,ipl most runs 2025,gt ipl,srh vs gt 2024,today weather report,gt vs srh dream11 team,gt last match,is srh out of ipl 2025,ipl 2025 score,gt vs srh pitch report,srh last match scorecard 2025,gt vs srh toss winner today,gt va srh,hyderabad gujarat,gt vs srh score,ipl list 2025,live cricket ipl 2025",5000000.0,,2025-05-01,Sports & Events,12,Thursday,3,3,1,3,1
cbse,2025-04-30 01:20:00+00:00,2025-06-20 18:51:23+00:00,"cbse,cbse result 2025,cbse result declared date 2025,12th result date 2025,cbse results class 10 cbse board,cbse results 2025,cbse class 10 result 2025 date,cbse 12 result 2025,cbse result 2025 class 10,cbse 10th result 2025 date sheet,cbse 2025 results,cbse result 2025 date,cbse result 2025 class 12,cbse. nic. in latest update,cbseresults-nic-in,cbse 10th result 2025 date,cbse.gov.in 2025,class 10 cbse result date 2025,cbse class 12 result 2025,cbse 12th result date 2025,cbse class 10 result 2025,cbse results,10th cbse result date 2025,cbse class 10 results 2025,cbse 10th 12th result 2025 date,cbse class 12 result date 2025,cbse.nic,cbse result date,cbse result,cbse class 10th result,india result,10th result cbse result,cbse class 10 result,cbse 10th result date 2025,cbse 10th result,cbse. gov. in,education india live.com,class 10 cbse result,cbse 12th result 2025,board exam result date 2025 class 10,cbse.nic.in,cbse board result 2025 date,class 12 cbse result 2025,cbse board exam class 10th result,cbse result 2025 date class 12,cbse class 12 result,cbse 2025 result date,10th result,cbse.nic.in class 10,when cbse result declared 2025 class 10?,cbse class 10 result date 2025,cbse board result,cbse result date 2025,cbse.gov.in,class 10 result 2025 cbse,12th cbse result 2025,10 cbse result 2025,indian result,cbse official website,cbse result 2025 check online,class 10 cbse result 2025,when is cbse 10th result 2025,class 12 cbse result date 2025,cbseresults.nic.in,digilocker,cbse. nic. in,cbse 12th result 2025 date,cbse website,digilocker cbse result,cbse class 12 result 2025 date,indian results,2 may cbse result 2025,result.cbse.nic.in 2025,cbseresults.nic.in results.cbse.nic.in,result cbse nic in,board exam result date 2025,exam sarkari result,cbseresults.nic.in class 10,results.cbse.nic.in 2025,cbse.gov.in 2025 result date,cbse board result date 2025,cbse result 2025 class 10 date,cbseresults.nic.in, results.cbse.nic.in, results.digilocker.gov.in,cbse results 2025 class 10,india result 2025,10th result date 2025 cbse,results.cbse.nic.in,cbse.result.nic,10th result 2025 cbse,class 10 result,cbse class 10th result date,matric result 2025,cbse class 10 result date,cbse result class 10,cbseresults.nic.in class 10 2025,www.cbse.nic.in 2025,class 12 cbse result,how to check cbse 10th result,10th result cbse 2025,jac 12th result 2025,cbse.nic.in class 12,cbse.nic.in.,www.cbse.nic.in 2025 class 10,cbse nic in latest update,class 10 cbse results,cbseresults.nic.in,,cbse 2025 result,cbse board class 12th result,when cbse result declared 2025,cbse board class 10th result,result cbse,cbscresult.nic.in 2025,cbse class 10,is tomorrow cbse 10th result 2025,class 10th cbse result date 2025,update,cbseresults.nic.in results.cbse.nic.in 2025,cbse gov .in,cbse gov in,12th cbse result date 2025,cbseresults,is cbse result out 2025,cbsc result,india result 10th,board exam result date 2025 class 10 cbse,cbse.nic.in class 10 result 2025,cbse 10th result 2025 date and time,results.cbse.nic,2025 10th result,cbseresults.nic.in.,cbse class 12th result 2025,cbse result class 10 2025,cbse 12 result 2025 date,hp board 10th result 2025,digilocker cbse,cbse official website result,cbse 2025,cbse 12th result,when cbse result declared 2025 class 10,cbse 10 result,central board of secondary education,cbse telangana ssc results,cbse.gov.in,,cbse board,cbse result date 2025 class 12,cbse result class 12,+2 result date,cbse board result date,mp board result 2025 class 12 date,cbse .nic.in,10 results date 2025,cbsc.nic.in 2025,cbse class 12 results 2025,10th result date 2025 tamil nadu,cbse result announced,state board 10th result 2025,cbse 10th result 2025 time,news live,cbse results 2025 date,news today,12 cbse result 2025,class 10 cbse result date,mp board result 2025 class 12,cbse result class 12 2025,cbse result website,india result 10th 2025,cbse. nic. in result 2025,12th result date,cbse nic in 2025 result,cbse 10th result date,class 12 result,cbse nic in latest update class 10,class 12th result 2025 cbse,tn 12th public exam result date 2025,cbse board exam result date 2025 class 10,class 10 cbse board result date 2025,cbse result 2025 10th,class 10th cbse result,cbse results 2025 class 12,mp board result 2025 class 10,cbse board result 2025 date class 10,cbse date sheet 2025,cisce,india tv live",2000000.0,,2025-04-30,Politics & Government,1,Wednesday,3,2,0,2,0
csk vs pbks,2025-04-29 12:10:00+00:00,2025-06-20 18:51:23+00:00,"csk vs pbks,khaleel ahmed",2000000.0,,2025-04-29,Sports & Events,12,Tuesday,3,1,1,1,1
chennai super kings vs punjab kings match scorecard,2025-05-01 00:30:00+00:00,2025-06-20 18:51:23+00:00,"chennai super kings vs punjab kings match scorecard,csk vs pbks 2025,pbks vs csk,chennai super kings vs punjab kings,yuzvendra chahal,csk vs punjab,csk,chennai super kings vs punjab kings timeline,chennai super kings vs punjab kings standings,csk pbks,csk versus punjab,priyansh arya,shreyas iyer,csk versus pbks,csk vs pbk,csk vs,csk vs pbsk,punjab vs csk,csk vs pbks scorecard,where to watch chennai super kings vs punjab kings,csk v pbks,csk vs pbks live score,csk vs pkbs,chennai versus punjab,che vs pbks,csk vs pbks live,pbks vs csk 2025,chennai vs punjab,chennai super kings vs punjab kings match,cak vs pbks,punjab kings vs chennai super kings match scorecard,csk vs panjab,chennai-punjab,csk - pbks,chennai super kings vs punjab kings stats,chahal,chennai super kings,kings vs super kings,punjab versus csk,chennai super kings vs punjab kings players,csk punjab,csk vs pk,csk vs pbks.,chennai super kings vs punjab kings match scorecar,chahal hat trick,pbks csk,csk today match,csk vs kxip,csk vs p,csk va pbks,ipl csk vs pbks,ipl final,chennai,ma chidambaram stadium,csk match today,point table,punjab vs chennai,csk vs pbks 2024,csk vs pbks toss,yuzi chahal,ipl point,chennai-punjab match,csk score,pbks vs che,pbks versus csk,ma chidambaram stadium pitch report,2025 ipl point table,hat trick in ipl 2025,hat trick in ipl,s curran,csk versus,csk last match,cskvs pbks,yesterday match result,super kings vs kings toss,csk owner,sports ipl,csk versus punjab kings,punjab versus chennai,csk vs pbks dream11 team,hat trick,csk vs pun,che vs pbks today match,che vs pbks 2025,csk last match scorecard,purple cap,ipl next match,csk vs pbks toss win,kamboj csk,cdk vs pbks,highest wicket taker in ipl 2025,csk live,csk vs pbks score,csk vs punjab 2025,point table ipl 2025,chepauk stadium,chk vs pbks,ipl.points table,i p l 2025,ipl 2025 score,csk bs pbks",1000000.0,,2025-05-01,Sports & Events,0,Thursday,3,3,1,3,1
raid 2,2025-04-30 14:50:00+00:00,2025-06-20 18:51:23+00:00,"raid 2,raid 2 box office collection,raid 2 review,raid,raid movie,drishyam 2,raid 2 movie download,raid 2 release date,raid movie box office collection,raid 2 reviews,tamilrockers,raid 2 movie,raid 2 ott,raid 2 movie review,raid 2 movie box office collection,raid 2 budget,raid 2 ajay devgn,raid 2 advance booking box office,raid box office collection,drishyam,box office collection,raid 2 collection,ajay devgn,raid 2 cast,raid 2 rating,bollywood",500000.0,,2025-04-30,Entertainment & Celebrities,14,Wednesday,3,2,2,2,2
real madrid vs celta vigo,2025-05-04 22:00:00+00:00,2025-06-20 18:51:23+00:00,"real madrid vs celta vigo,kylian mbappé,rma,real madrid vs celta vigo lineups,rc celta de vigo,celta vigo,la liga,laliga,la liga live",100000.0,,2025-05-04,Health & Wellness,22,Sunday,3,6,4,6,4
